id,latitude,longitude,x,y,cluster,centroid,radius
752292040,48.84834,2.25278,0.354,1.138,1,[2346.688 3037.417],1564.4232634530208
752290048,48.84694,2.25695,0.256,0.987,1,[2346.688 3037.417],1564.4232634530208
752290440,48.83861,2.27167,1.163,0.252,1,[2346.688 3037.417],1564.4232634530208
752290493,48.83889,2.2625,0.526,0.258,1,[2346.688 3037.417],1564.4232634530208
752290178,48.84139,2.26889,0.965,0.42,1,[2346.688 3037.417],1564.4232634530208
752290271,48.84528,2.2725,1.223,0.81,1,[2346.688 3037.417],1564.4232634530208
752290262,48.84445,2.27972,1.745,0.722,1,[2346.688 3037.417],1564.4232634530208
752290456,48.84139,2.28083,1.826,0.42,1,[2346.688 3037.417],1564.4232634530208
752290206,48.84528,2.28473,2.11,0.81,1,[2346.688 3037.417],1564.4232634530208
752291527,48.84167,2.25806,0.285,0.446,1,[2346.688 3037.417],1564.4232634530208
752290214,48.84389,2.26056,0.406,0.664,1,[2346.688 3037.417],1564.4232634530208
752290475,48.84416,2.26556,0.731,0.692,1,[2346.688 3037.417],1564.4232634530208
752291177,48.84695,2.26195,0.491,0.988,1,[2346.688 3037.417],1564.4232634530208
752292084,48.85444,2.26889,0.965,1.806,1,[2346.688 3037.417],1564.4232634530208
752291034,48.8525,2.27555,1.443,1.593,1,[2346.688 3037.417],1564.4232634530208
752291065,48.84306,2.25417,0.291,0.58,1,[2346.688 3037.417],1564.4232634530208
752292571,48.84028,2.2675,0.867,0.329,1,[2346.688 3037.417],1564.4232634530208
752290511,48.85139,2.26167,0.473,1.471,1,[2346.688 3037.417],1564.4232634530208
752290042,48.85167,2.26666,0.808,1.501,1,[2346.688 3037.417],1564.4232634530208
752290420,48.84806,2.28611,2.21,1.108,1,[2346.688 3037.417],1564.4232634530208
752290119,48.84805,2.28112,1.847,1.107,1,[2346.688 3037.417],1564.4232634530208
752290466,48.83917,2.27805,1.624,0.266,1,[2346.688 3037.417],1564.4232634530208
752290128,48.85389,2.25611,0.25,1.745,1,[2346.688 3037.417],1564.4232634530208
752291265,48.84111,2.26444,0.655,0.396,1,[2346.688 3037.417],1564.4232634530208
752292277,48.83611,2.25666,0.252,0.354,1,[2346.688 3037.417],1564.4232634530208
752291149,48.84223,2.27251,1.223,0.498,1,[2346.688 3037.417],1564.4232634530208
752291045,48.84222,2.26472,0.674,0.497,1,[2346.688 3037.417],1564.4232634530208
752291536,48.84889,2.27334,1.283,1.198,1,[2346.688 3037.417],1564.4232634530208
752292091,48.84778,2.26444,0.655,1.077,1,[2346.688 3037.417],1564.4232634530208
752292169,48.845,2.26166,0.473,0.78,1,[2346.688 3037.417],1564.4232634530208
