id,latitude,longitude,x,y,cluster,centroid,radius
752292040,48.84834,2.25278,354.0,1138.0,1,[2346.688 3037.417],1564.4232634530208
752290048,48.84694,2.25695,256.0,987.0,1,[2346.688 3037.417],1564.4232634530208
752290440,48.83861,2.27167,1163.0,252.0,1,[2346.688 3037.417],1564.4232634530208
752290493,48.83889,2.2625,526.0,258.0,1,[2346.688 3037.417],1564.4232634530208
752290178,48.84139,2.26889,965.0,420.0,1,[2346.688 3037.417],1564.4232634530208
752290271,48.84528,2.2725,1223.0,810.0,1,[2346.688 3037.417],1564.4232634530208
752290262,48.84445,2.27972,1745.0,722.0,1,[2346.688 3037.417],1564.4232634530208
752290456,48.84139,2.28083,1826.0,420.0,1,[2346.688 3037.417],1564.4232634530208
752290206,48.84528,2.28473,2110.0,810.0,1,[2346.688 3037.417],1564.4232634530208
752291527,48.84167,2.25806,285.0,446.0,1,[2346.688 3037.417],1564.4232634530208
752290214,48.84389,2.26056,406.0,664.0,1,[2346.688 3037.417],1564.4232634530208
752290475,48.84416,2.26556,731.0,692.0,1,[2346.688 3037.417],1564.4232634530208
752291177,48.84695,2.26195,491.0,988.0,1,[2346.688 3037.417],1564.4232634530208
752292084,48.85444,2.26889,965.0,1806.0,1,[2346.688 3037.417],1564.4232634530208
752291034,48.8525,2.27555,1443.0,1593.0,1,[2346.688 3037.417],1564.4232634530208
752291065,48.84306,2.25417,291.0,580.0,1,[2346.688 3037.417],1564.4232634530208
752292571,48.84028,2.2675,867.0,329.0,1,[2346.688 3037.417],1564.4232634530208
752290511,48.85139,2.26167,473.0,1471.0,1,[2346.688 3037.417],1564.4232634530208
752290042,48.85167,2.26666,808.0,1501.0,1,[2346.688 3037.417],1564.4232634530208
752290420,48.84806,2.28611,2210.0,1108.0,1,[2346.688 3037.417],1564.4232634530208
752290119,48.84805,2.28112,1847.0,1107.0,1,[2346.688 3037.417],1564.4232634530208
752290466,48.83917,2.27805,1624.0,266.0,1,[2346.688 3037.417],1564.4232634530208
752290128,48.85389,2.25611,250.0,1745.0,1,[2346.688 3037.417],1564.4232634530208
752291265,48.84111,2.26444,655.0,396.0,1,[2346.688 3037.417],1564.4232634530208
752292277,48.83611,2.25666,252.0,354.0,1,[2346.688 3037.417],1564.4232634530208
752291149,48.84223,2.27251,1223.0,498.0,1,[2346.688 3037.417],1564.4232634530208
752291045,48.84222,2.26472,674.0,497.0,1,[2346.688 3037.417],1564.4232634530208
752291536,48.84889,2.27334,1283.0,1198.0,1,[2346.688 3037.417],1564.4232634530208
752292091,48.84778,2.26444,655.0,1077.0,1,[2346.688 3037.417],1564.4232634530208
752292169,48.845,2.26166,473.0,780.0,1,[2346.688 3037.417],1564.4232634530208
