id,latitude,longitude,x,y
0752290181,48.89722,2.31305,5.855,8.834
0752290285,48.8375,2.34805,8.425,2.193
0752290316,48.89667,2.33056,7.14,8.773
0752290341,48.8975,2.33861,7.732,8.865
0752290284,48.83778,2.35861,9.2,2.224
0752290459,48.8975,2.35222,8.731,8.865
0752290406,48.83417,2.34778,8.405,1.823
0752290281,48.89194,2.35083,8.629,8.247
0752291174,48.83445,2.35722,9.098,1.854
0752291529,48.89139,2.33611,7.548,8.186
0752291392,48.89278,2.32305,6.589,8.341
0752290435,48.83056,2.33833,7.711,1.421
0752291189,48.89194,2.31528,6.018,8.247
0752290195,48.83139,2.34584,8.263,1.514
0752290259,48.88722,2.31805,6.222,7.722
0752292040,48.84834,2.25278,1.428,3.398
0752290212,48.83055,2.35083,8.629,1.42
0752290220,48.88806,2.325,6.732,7.816
0752291904,48.85667,2.33917,7.773,4.325
0752290378,48.83139,2.36084,9.364,1.514
0752290400,48.83083,2.36612,9.752,1.451
0752290315,48.88778,2.33778,7.671,7.784
0752290370,48.825,2.38694,11.281,0.803
0752291469,48.88833,2.3461,8.282,7.846
0752290357,48.8275,2.33583,7.527,1.081
0752291175,48.87444,2.37472,10.383,6.301
0752290470,48.87306,2.34444,8.16,6.148
0752290194,48.82555,2.37777,10.607,0.864
0752290437,48.82195,2.32945,7.059,0.464
0752290349,48.88139,2.3775,10.588,7.074
0752290340,48.82222,2.33389,7.385,0.494
0752291520,48.82111,2.34361,8.099,0.37
0752290168,48.8625,2.35889,9.221,4.973
0752290364,48.82445,2.34917,8.507,0.742
0752290444,48.85472,2.35611,9.017,4.108
0752290048,48.84694,2.25695,1.735,3.243
0752290452,48.86806,2.32194,6.507,5.591
0752290346,48.82028,2.36861,9.935,0.278
0752290221,48.87639,2.34805,8.425,6.518
0752290367,48.83612,2.27917,3.366,2.04
0752291173,48.86111,2.28361,3.692,4.819
0752290173,48.86639,2.35389,8.854,5.406
0752291165,48.87417,2.35833,9.18,6.271
0752291283,48.88,2.35305,8.792,6.919
0752290239,48.82611,2.32222,6.528,0.926
0752290497,48.875,2.35306,8.793,6.363
0752290380,48.82695,2.29972,4.876,1.02
0752290227,48.87083,2.35861,9.2,5.9
0752291214,48.83,2.29695,4.672,1.359
0752290215,48.85973,2.34528,8.221,4.665
0752290131,48.87278,2.24278,0.694,6.116
0752290439,48.82972,2.30333,5.141,1.328
0752290277,48.83056,2.31306,5.855,1.421
0752290253,48.87695,2.36667,9.792,6.58
0752290494,48.82889,2.32305,6.589,1.236
0752290301,48.87972,2.36972,10.016,6.888
0752290163,48.86722,2.33749,7.649,5.498
0752291951,48.82778,2.35639,9.037,1.112
0752290217,48.86416,2.33278,7.303,5.158
0752290440,48.83861,2.27167,2.816,2.316
0752290343,48.83806,2.28805,4.019,2.255
0752290322,48.83278,2.28972,4.141,1.668
0752291570,48.8375,2.29472,4.508,2.193
0752290240,48.83472,2.30611,5.345,1.884
0752290184,48.88861,2.39306,11.73,7.877
0752291213,48.8675,2.24861,1.122,5.529
0752290415,48.83805,2.30278,5.1,2.254
0752291974,48.84222,2.41195,13.118,2.718
0752290493,48.83889,2.2625,2.142,2.348
0752290260,48.88584,2.39001,11.506,7.569
0752290418,48.81833,2.33417,7.406,0.061
0752290185,48.88139,2.39055,11.546,7.074
0752291463,48.87639,2.385,11.138,6.518
0752290178,48.84139,2.26889,2.611,2.626
0752290271,48.84528,2.2725,2.877,3.058
0752292047,48.84916,2.33305,7.323,3.49
0752290363,48.87667,2.40388,12.525,6.549
0752290262,48.84445,2.27972,3.407,2.966
0752290190,48.87361,2.3825,10.955,6.209
0752290456,48.84139,2.28083,3.488,2.626
0752291521,48.87417,2.38945,11.465,6.271
0752291437,48.83195,2.32973,7.079,1.576
0752291061,48.83611,2.33222,7.262,2.038
0752291386,48.83806,2.33139,7.201,2.255
0752290313,48.87055,2.37556,10.445,5.868
0752290351,48.83694,2.32194,6.507,2.131
0752290289,48.86972,2.38833,11.383,5.776
0752290237,48.83944,2.31139,5.733,2.409
0752290384,48.87139,2.40833,12.852,5.962
0752290208,48.84445,2.30417,5.202,2.966
0752291308,48.86639,2.37501,10.405,5.406
0752290489,48.86139,2.38528,11.159,4.85
0752290241,48.84528,2.29805,4.753,3.058
0752290210,48.84472,2.29167,4.284,2.996
0752291516,48.84778,2.29611,4.61,3.336
0752290167,48.86222,2.36444,9.629,4.942
0752290358,48.84167,2.29499,4.528,2.657
0752290028,48.86222,2.36973,10.017,4.942
0752290206,48.84528,2.28473,3.775,3.058
0752290290,48.86083,2.38055,10.812,4.787
0752290487,48.84555,2.32417,6.671,3.088
0752291927,48.86305,2.40528,12.628,5.034
0752290422,48.84195,2.32584,6.794,2.688
0752290275,48.86361,2.4125,13.158,5.097
0752290374,48.90084,2.35083,8.629,9.237
0752290342,48.84611,2.32916,7.038,3.15
0752290166,48.85862,2.36112,9.385,4.542
0752290402,48.85889,2.38972,11.485,4.572
0752290366,48.84361,2.34778,8.405,2.872
0752290377,48.87,2.29667,4.652,5.807
0752291907,48.855,2.36333,9.547,4.139
0752291527,48.84167,2.25806,1.816,2.657
0752290348,48.855,2.3725,10.22,4.139
0752291531,48.89333,2.38056,10.812,8.402
0752291060,48.86889,2.30112,4.978,5.684
0752290376,48.85417,2.3775,10.588,4.047
0752290214,48.84389,2.26056,2.0,2.904
0752291499,48.855,2.38583,11.199,4.139
0752290475,48.84416,2.26556,2.367,2.934
0752291979,48.85583,2.39083,11.567,4.231
0752290398,48.85611,2.40806,12.832,4.263
0752292041,48.8275,2.2925,4.345,1.081
0752292515,48.86834,2.33278,7.303,5.623
0752291177,48.84695,2.26195,2.102,3.244
0752292084,48.85444,2.26889,2.611,4.077
0752291034,48.8525,2.27555,3.101,3.861
0752291573,48.85166,2.38333,11.016,3.768
0752290276,48.85222,2.40194,12.382,3.83
0752292059,48.82055,2.37473,10.384,0.308
0752290417,48.85139,2.29112,4.244,3.738
0752291220,48.85195,2.29806,4.754,3.8
0752291153,48.835,2.44083,15.238,1.915
0752290258,48.84944,2.3875,11.322,3.521
0752292437,48.86972,2.33583,7.527,5.776
0752290228,48.84834,2.39389,11.791,3.398
0752291938,48.85389,2.34389,8.119,4.016
0752290158,48.82084,2.45056,15.953,0.34
0752290375,48.81944,2.35889,9.221,0.185
0752290381,48.85,2.4125,13.158,3.583
0752290338,48.85584,2.27722,3.223,4.233
0752291033,48.84528,2.37778,10.608,3.058
0752290320,48.85806,2.26667,2.448,4.479
0752290250,48.845,2.38806,11.363,3.027
0752290198,48.845,2.41,12.974,3.027
0752290473,48.85833,2.27945,3.387,4.509
0752291278,48.86806,2.26972,2.672,5.591
0752290223,48.84139,2.3886,11.403,2.626
0752290188,48.84056,2.40111,12.321,2.533
0752291065,48.84306,2.25417,1.53,2.811
0752292550,48.86611,2.34584,8.263,5.375
0752291179,48.85917,2.29972,4.876,4.603
0752290347,48.83861,2.37861,10.669,2.316
0752291417,48.86166,2.27861,3.325,4.88
0752290270,48.83611,2.40249,12.423,2.038
0752290429,48.865,2.27055,2.733,5.251
0752290326,48.83166,2.38583,11.199,1.544
0752291590,48.86472,2.28806,4.019,5.22
0752291344,48.81778,2.45639,16.381,0.0
0752291049,48.86416,2.29361,4.427,5.158
0752292370,48.87278,2.31583,6.059,6.116
0752292386,48.86056,2.34972,8.547,4.757
0752291526,48.86833,2.27833,3.305,5.621
0752292532,48.85222,2.33972,7.813,3.83
0752292046,48.87306,2.28139,3.529,6.148
0752292554,48.85333,2.33556,7.508,3.953
0752290305,48.87361,2.28528,3.815,6.209
0752291044,48.87278,2.29111,4.243,6.116
0752290280,48.89666,2.36055,9.343,8.772
0752291429,48.87278,2.30249,5.079,6.116
0752290345,48.88944,2.35194,8.711,7.969
0752290244,48.87361,2.30972,5.61,6.209
0752290282,48.88277,2.34166,7.956,7.227
0752290362,48.88389,2.33333,7.344,7.352
0752290254,48.87916,2.31667,6.12,6.826
0752291062,48.87695,2.28666,3.916,6.58
0752290165,48.88,2.32362,6.631,6.919
0752290300,48.87972,2.33,7.099,6.888
0752290390,48.87917,2.2925,4.345,6.827
0752290011,48.88,2.33833,7.711,6.919
0752290450,48.87555,2.34167,7.956,6.424
0752291190,48.88556,2.31638,6.099,7.538
0752292514,48.86389,2.34889,8.487,5.128
0752290334,48.88278,2.30584,5.325,7.228
0752290382,48.87222,2.3175,6.181,6.054
0752292537,48.86639,2.34722,8.364,5.406
0752290327,48.88278,2.29612,4.611,7.228
0752291441,48.87389,2.33194,7.242,6.24
0752290255,48.88305,2.29,4.162,7.258
0752290354,48.89222,2.36527,9.689,8.278
0752290332,48.84861,2.35055,8.608,3.428
0752290182,48.89306,2.37444,10.363,8.372
0752292556,48.84222,2.33028,7.12,2.718
0752292627,48.86916,2.34611,8.282,5.714
0752290472,48.85166,2.34278,8.038,3.768
0752290392,48.88889,2.36028,9.323,7.908
0752290476,48.85111,2.3375,7.65,3.707
0752291494,48.88916,2.36917,9.976,7.938
0752290236,48.85222,2.32944,7.058,3.83
0752290461,48.88805,2.37555,10.444,7.815
0752292553,48.84472,2.32973,7.079,2.996
0752291889,48.84945,2.31833,6.242,3.522
0752292567,48.84444,2.32861,6.997,2.965
0752290329,48.85528,2.32612,6.814,4.17
0752290279,48.88527,2.35667,9.058,7.505
0752290266,48.86167,2.32055,6.405,4.881
0752290469,48.88472,2.37555,10.444,7.444
0752292541,48.84389,2.32472,6.712,2.904
0752291595,48.85444,2.33666,7.588,4.077
0752290438,48.85416,2.34611,8.282,4.046
0752292548,48.84556,2.32556,6.773,3.089
0752292557,48.84278,2.31611,6.079,2.78
0752292379,48.8725,2.32333,6.609,6.085
0752292368,48.87584,2.32306,6.59,6.457
0752292378,48.87416,2.32666,6.854,6.27
0752292009,48.87056,2.3125,5.814,5.869
0752292561,48.87333,2.32417,6.671,6.178
0752292507,48.87305,2.31806,6.222,6.146
0752292448,48.86639,2.33194,7.242,5.406
0752290328,48.88611,2.28583,3.856,7.599
